essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	12	0.000721	0.006357	0.003426	0.011917	0.005166	0.026606	0.000721	0.006829	0.000792	0.005026	0.003644	0.007574	0.004224	0.011655	0.000797	0.005362
0.526316	12	0.001026	0.006943	0.011836	0.017307	0.014663	0.040373	0.001027	0.007652	0.001066	0.005209	0.011272	0.008777	0.011465	0.015003	0.001074	0.005557
0.552632	12	0.004706	0.007376	0.036268	0.020863	0.052917	0.069615	0.004707	0.010282	0.007199	0.005267	0.025388	0.009879	0.019995	0.011763	0.007202	0.006955
0.578947	12	0.003984	0.007266	0.094718	0.024451	0.111030	0.094384	0.003985	0.009741	0.006335	0.004873	0.029859	0.010616	0.018069	0.007226	0.006343	0.006475
0.605263	12	0.011419	0.008650	0.109831	0.023529	0.147803	0.103833	0.011422	0.013711	0.017765	0.005834	0.048971	0.010272	0.012526	0.005244	0.017771	0.009702
0.631579	12	0.045772	0.014087	0.084603	0.020667	0.198625	0.107790	0.045764	0.026784	0.042794	0.010731	0.081463	0.013357	0.015306	0.008343	0.042797	0.016074
0.657895	12	0.093962	0.023568	0.030062	0.015537	0.232861	0.104067	0.093965	0.043125	0.038519	0.014549	0.051028	0.013740	0.015761	0.007445	0.038539	0.013430
0.684211	12	0.129970	0.026624	0.015782	0.013008	0.250563	0.101705	0.129960	0.049313	0.050017	0.016158	0.028876	0.012288	0.009634	0.006572	0.050036	0.014372
0.710526	12	0.108694	0.019680	0.043601	0.020795	0.280590	0.106346	0.108691	0.042410	0.061337	0.012847	0.048107	0.013587	0.023585	0.007317	0.061350	0.013214
0.736842	12	0.184553	0.028553	0.100416	0.028975	0.334346	0.095015	0.184570	0.052377	0.163776	0.022824	0.068090	0.015919	0.013262	0.020218	0.163800	0.022743
0.763158	12	0.122590	0.022912	0.087016	0.032185	0.354742	0.100769	0.122598	0.046007	0.093035	0.016278	0.052998	0.015874	0.012069	0.012004	0.093045	0.013635
0.789474	12	0.161244	0.026981	0.105154	0.039342	0.382404	0.093092	0.161251	0.052494	0.097936	0.019295	0.086610	0.021285	0.013042	0.012569	0.097951	0.016561
0.815789	12	0.199713	0.044519	0.117849	0.039638	0.404495	0.085996	0.199692	0.067246	0.070401	0.023521	0.098390	0.024465	0.011450	0.008987	0.070424	0.017915
0.842105	12	0.220148	0.040143	0.173665	0.041049	0.417415	0.081768	0.220140	0.065905	0.056201	0.021283	0.090857	0.022882	0.009472	0.006640	0.056246	0.015359
0.868421	12	0.213348	0.034467	0.210246	0.056381	0.430552	0.081611	0.213351	0.061939	0.044074	0.017429	0.123614	0.030176	0.012751	0.005938	0.044120	0.012020
0.894737	12	0.243770	0.045082	0.376970	0.047911	0.449967	0.076589	0.243787	0.070383	0.050804	0.020831	0.058848	0.023678	0.007596	0.007047	0.050854	0.015280
0.921053	12	0.276197	0.044865	0.402514	0.034405	0.454521	0.072095	0.276188	0.072150	0.042217	0.018135	0.037449	0.014214	0.004115	0.004857	0.042248	0.011470
0.947368	12	0.252116	0.048330	0.433847	0.033446	0.457831	0.074948	0.252102	0.073599	0.043315	0.022989	0.036405	0.014168	0.004243	0.005052	0.043351	0.016457
0.973684	12	0.280340	0.055735	0.435389	0.033060	0.460540	0.073317	0.280339	0.079415	0.064418	0.023810	0.032885	0.015208	0.005719	0.006935	0.064453	0.017585
1.000000	12	0.348861	0.062511	0.524037	0.042330	0.509517	0.070662	0.348841	0.087193	0.098866	0.035687	0.048855	0.017116	0.028636	0.008764	0.098905	0.028370
