essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	28	0.000445	0.003982	0.008930	0.012071	0.010297	0.025178	0.000445	0.004026	0.000712	0.005411	0.012711	0.010360	0.012869	0.015337	0.000712	0.005460
0.526316	28	0.000681	0.004492	0.018531	0.015823	0.021456	0.034788	0.000682	0.004587	0.001065	0.005834	0.018081	0.012144	0.018952	0.016760	0.001068	0.005906
0.552632	28	0.000518	0.003598	0.080472	0.023025	0.083027	0.060120	0.000518	0.003727	0.000800	0.004785	0.021066	0.013251	0.021088	0.009170	0.000801	0.004814
0.578947	28	0.000531	0.003806	0.117554	0.021408	0.119358	0.067483	0.000530	0.003871	0.000927	0.005392	0.024345	0.011985	0.024214	0.007715	0.000928	0.005454
0.605263	28	0.003236	0.004951	0.141436	0.017511	0.163472	0.073741	0.003236	0.005583	0.006734	0.006196	0.053725	0.011031	0.022448	0.006423	0.006736	0.006447
0.631579	28	0.000555	0.004486	0.199634	0.018175	0.199990	0.079401	0.000555	0.004535	0.000901	0.005967	0.021886	0.012000	0.021771	0.005395	0.000902	0.006025
0.657895	28	0.003276	0.005063	0.205288	0.021428	0.230565	0.082369	0.003276	0.005757	0.005909	0.006071	0.059195	0.013827	0.024526	0.006387	0.005911	0.006222
0.684211	28	0.011684	0.006253	0.179881	0.019621	0.264576	0.081442	0.011684	0.008362	0.014167	0.006753	0.106308	0.012783	0.023329	0.008033	0.014169	0.006841
0.710526	28	0.009279	0.006464	0.214986	0.018156	0.285347	0.083042	0.009280	0.008185	0.011764	0.007341	0.097400	0.012629	0.023738	0.007267	0.011768	0.007403
0.736842	28	0.008542	0.007519	0.269716	0.020626	0.321088	0.085485	0.008543	0.009057	0.009846	0.007815	0.075307	0.012537	0.018304	0.007525	0.009851	0.007671
0.763158	28	0.016970	0.008233	0.232896	0.020957	0.341949	0.081749	0.016973	0.010902	0.015103	0.008503	0.108639	0.014265	0.017635	0.009861	0.015109	0.008225
0.789474	28	0.019091	0.008558	0.252418	0.024713	0.366059	0.081471	0.019094	0.011224	0.018380	0.008363	0.123079	0.018842	0.016009	0.011644	0.018384	0.008239
0.815789	28	0.012894	0.009008	0.320221	0.017417	0.379605	0.084932	0.012891	0.010846	0.014530	0.008874	0.081348	0.012429	0.016011	0.010550	0.014529	0.008717
0.842105	28	0.022172	0.009091	0.308337	0.027496	0.402441	0.079334	0.022172	0.012352	0.016080	0.008009	0.089228	0.021394	0.015706	0.010475	0.016083	0.007290
0.868421	28	0.027158	0.011852	0.345170	0.025602	0.429088	0.076948	0.027155	0.014982	0.019190	0.009564	0.082732	0.018248	0.015233	0.012726	0.019194	0.008821
0.894737	28	0.020997	0.009787	0.382475	0.022564	0.439833	0.081017	0.020996	0.012534	0.020817	0.009212	0.090081	0.016151	0.015336	0.013670	0.020817	0.008815
0.921053	28	0.029847	0.013444	0.409718	0.032260	0.456693	0.075631	0.029850	0.016596	0.017682	0.010310	0.056031	0.023881	0.014054	0.011405	0.017687	0.009290
0.947368	28	0.028808	0.013864	0.449624	0.025315	0.472605	0.075439	0.028818	0.016951	0.013736	0.010262	0.043279	0.020648	0.018669	0.009491	0.013748	0.009056
0.973684	28	0.033379	0.012565	0.466806	0.024687	0.481539	0.071874	0.033383	0.016480	0.011399	0.009433	0.029773	0.017329	0.014798	0.006758	0.011410	0.007696
1.000000	28	0.026866	0.012942	0.503237	0.021022	0.499793	0.075707	0.026865	0.016037	0.012387	0.009559	0.024500	0.013373	0.013372	0.008184	0.012391	0.008392
