essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	10	0.000965	0.007105	0.003246	0.012393	0.005446	0.028408	0.000965	0.008057	0.000958	0.004644	0.002936	0.007046	0.003796	0.010728	0.000967	0.005194
0.526316	10	0.001503	0.008099	0.007360	0.016474	0.011140	0.038875	0.001501	0.009510	0.001442	0.005059	0.007520	0.008954	0.007975	0.013494	0.001447	0.005647
0.552632	10	0.004353	0.009198	0.038959	0.024713	0.051084	0.074525	0.004354	0.012261	0.005836	0.005917	0.026331	0.009358	0.020034	0.013360	0.005843	0.008078
0.578947	10	0.008341	0.009108	0.082203	0.025672	0.105235	0.100146	0.008341	0.013781	0.014607	0.005940	0.039485	0.010866	0.017427	0.007654	0.014605	0.010708
0.605263	10	0.039632	0.015320	0.056449	0.019795	0.150759	0.108751	0.039636	0.030173	0.033563	0.009805	0.056098	0.011640	0.018758	0.005306	0.033580	0.016108
0.631579	10	0.077931	0.021896	0.030390	0.014865	0.190453	0.111665	0.077935	0.044743	0.038991	0.012891	0.051347	0.012188	0.015605	0.006226	0.039010	0.014734
0.657895	10	0.140274	0.032290	0.008809	0.010743	0.231444	0.109818	0.140283	0.061427	0.042856	0.017658	0.023535	0.009068	0.014669	0.005153	0.042882	0.014663
0.684211	10	0.190938	0.037454	0.003151	0.010737	0.253152	0.108285	0.190939	0.069699	0.048622	0.016804	0.006478	0.008960	0.007219	0.005104	0.048657	0.013353
0.710526	10	0.152056	0.025201	0.072421	0.025483	0.286535	0.113340	0.152048	0.054219	0.155802	0.016821	0.063751	0.015028	0.018649	0.017732	0.155793	0.019145
0.736842	10	0.257856	0.032304	0.116824	0.033735	0.332752	0.099886	0.257876	0.065639	0.211380	0.021605	0.072850	0.014146	0.016390	0.024545	0.211408	0.023743
0.763158	10	0.447091	0.041269	0.209392	0.035434	0.350922	0.074642	0.447094	0.083533	0.122115	0.017206	0.049088	0.016627	0.009185	0.014211	0.122132	0.013875
0.789474	10	0.443032	0.051472	0.257621	0.048714	0.381608	0.073000	0.443034	0.090767	0.062475	0.019312	0.058189	0.030142	0.015003	0.006797	0.062496	0.011400
0.815789	10	0.426975	0.053329	0.277817	0.036448	0.392475	0.072374	0.426981	0.092313	0.035786	0.022670	0.030546	0.023174	0.005643	0.003791	0.035839	0.013858
0.842105	10	0.423936	0.056566	0.301744	0.037534	0.404199	0.073063	0.423936	0.093740	0.093759	0.028793	0.037885	0.019259	0.012359	0.007997	0.093779	0.019392
0.868421	10	0.344716	0.051523	0.234447	0.046193	0.427852	0.080640	0.344693	0.087058	0.127420	0.025406	0.151533	0.022076	0.012560	0.012007	0.127448	0.018970
0.894737	10	0.398203	0.057177	0.415630	0.040592	0.452293	0.072700	0.398182	0.093330	0.079243	0.023244	0.038662	0.017062	0.005697	0.006719	0.079309	0.015215
0.921053	10	0.411448	0.068686	0.449135	0.031562	0.456850	0.070845	0.411473	0.102226	0.050383	0.033696	0.024748	0.013378	0.003700	0.004559	0.050424	0.024376
0.947368	10	0.431153	0.062053	0.434750	0.032891	0.457966	0.069713	0.431140	0.097277	0.067515	0.024960	0.031396	0.013698	0.004233	0.005744	0.067585	0.016088
0.973684	10	0.800580	0.070546	0.476240	0.022759	0.483436	0.039662	0.800580	0.088231	0.184108	0.053049	0.032971	0.009670	0.015323	0.019021	0.184128	0.052237
1.000000	10	0.970313	0.041107	0.503642	0.024071	0.500784	0.019010	0.970311	0.046877	0.030244	0.033921	0.026411	0.008645	0.003360	0.007693	0.030253	0.034375
