essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	14	0.000934	0.006355	0.002983	0.011441	0.005749	0.027005	0.000935	0.006865	0.001069	0.005134	0.003193	0.008015	0.004766	0.011690	0.001075	0.005423
0.526316	14	0.001448	0.006899	0.013886	0.019715	0.018648	0.043129	0.001447	0.007711	0.001683	0.005553	0.013009	0.010775	0.013634	0.015852	0.001688	0.005829
0.552632	14	0.002480	0.005964	0.055881	0.022366	0.066830	0.072041	0.002483	0.007337	0.003838	0.004994	0.030578	0.010492	0.019379	0.009720	0.003845	0.005867
0.578947	14	0.003672	0.006078	0.097888	0.021697	0.110566	0.087746	0.003671	0.007480	0.009319	0.005431	0.036490	0.010657	0.015285	0.006616	0.009321	0.007250
0.605263	14	0.016373	0.008989	0.105288	0.020148	0.157105	0.097559	0.016373	0.013731	0.023511	0.007305	0.074375	0.012960	0.016189	0.007434	0.023517	0.011218
0.631579	14	0.032906	0.011802	0.078295	0.018258	0.186059	0.099697	0.032904	0.020738	0.028020	0.009847	0.082107	0.011843	0.012550	0.008089	0.028031	0.012879
0.657895	14	0.077714	0.020248	0.022486	0.012695	0.218738	0.095706	0.077712	0.035011	0.031480	0.014122	0.051041	0.010470	0.013137	0.006284	0.031497	0.012690
0.684211	14	0.082602	0.018402	0.036264	0.017595	0.250705	0.098239	0.082621	0.034173	0.045803	0.013282	0.040436	0.013770	0.015211	0.006920	0.045836	0.012815
0.710526	14	0.085265	0.016309	0.061205	0.022732	0.279727	0.099449	0.085269	0.033019	0.049632	0.010364	0.068891	0.016900	0.026362	0.007786	0.049639	0.010909
0.736842	14	0.057600	0.016413	0.113263	0.026673	0.326166	0.103570	0.057605	0.030588	0.020674	0.014505	0.081407	0.011708	0.015717	0.007540	0.020701	0.011826
0.763158	14	0.073654	0.018452	0.097353	0.029305	0.353771	0.098821	0.073656	0.033998	0.019076	0.012698	0.077723	0.015253	0.013696	0.006096	0.019106	0.009728
0.789474	14	0.091645	0.022281	0.086377	0.029863	0.377006	0.093220	0.091639	0.039102	0.015393	0.015822	0.052909	0.014962	0.012242	0.005057	0.015434	0.010991
0.815789	14	0.130176	0.033425	0.090191	0.040094	0.398772	0.086358	0.130167	0.049681	0.041842	0.019003	0.050877	0.024951	0.012909	0.006981	0.041883	0.014919
0.842105	14	0.134736	0.026911	0.084660	0.038223	0.412573	0.082913	0.134737	0.045929	0.021562	0.015249	0.050848	0.022074	0.007655	0.004357	0.021609	0.010538
0.868421	14	0.136601	0.024038	0.147252	0.048227	0.422973	0.082130	0.136608	0.044334	0.023343	0.013698	0.066163	0.024402	0.008848	0.003930	0.023402	0.009284
0.894737	14	0.156638	0.029854	0.288176	0.046552	0.443156	0.078234	0.156640	0.049935	0.019934	0.018328	0.124738	0.025263	0.014792	0.003844	0.019984	0.012843
0.921053	14	0.163341	0.031626	0.366487	0.043074	0.452600	0.077356	0.163323	0.051267	0.029213	0.016901	0.073329	0.023065	0.009726	0.005277	0.029238	0.011865
0.947368	14	0.183857	0.033980	0.420406	0.036080	0.458940	0.073898	0.183843	0.054221	0.029714	0.016858	0.051305	0.018945	0.005547	0.004817	0.029749	0.011280
0.973684	14	0.183977	0.041207	0.445746	0.035712	0.464798	0.075557	0.183989	0.058775	0.041866	0.019345	0.038258	0.016878	0.009574	0.006755	0.041895	0.015049
1.000000	14	0.157654	0.039116	0.529962	0.042479	0.514345	0.081436	0.157663	0.055738	0.040837	0.020217	0.048251	0.023265	0.020304	0.007161	0.040869	0.015810
